,precision,recall,f1-score,support
Angry,0.0,0.0,0.0,0.0
Disgust,0.0,0.0,0.0,0.0
Fear,0.0,0.0,0.0,0.0
Happy,0.0,0.0,0.0,0.0
Neutral,0.0,0.0,0.0,0.0
Sad,0.8363636363636363,0.35384615384615387,0.4972972972972973,390.0
Surprise,0.9761606022584692,0.6977578475336322,0.8138075313807531,1115.0
accuracy,0.6086378737541528,0.6086378737541528,0.6086378737541528,0.6086378737541528
macro avg,0.2589320340888722,0.15022914305425514,0.18730068981115006,1505.0
weighted avg,0.9399341459800741,0.6086378737541528,0.7317882680634457,1505.0
