,precision,recall,f1-score,support
Class_0,0.9150326797385621,0.9333333333333333,0.9240924092409241,150.0
Class_1,0.9455782312925171,0.9266666666666666,0.936026936026936,150.0
Class_2,0.9285714285714286,0.9533333333333334,0.9407894736842105,150.0
Class_3,0.9463087248322147,0.94,0.9431438127090301,150.0
Class_4,0.9210526315789473,0.9333333333333333,0.9271523178807947,150.0
Class_5,0.9790209790209791,0.9333333333333333,0.9556313993174061,150.0
Class_6,0.9144736842105263,0.9266666666666666,0.9205298013245033,150.0
accuracy,0.9352380952380952,0.9352380952380952,0.9352380952380952,0.9352380952380952
macro avg,0.9357197656064536,0.9352380952380953,0.9353380214548294,1050.0
weighted avg,0.9357197656064536,0.9352380952380952,0.9353380214548292,1050.0
