,precision,recall,f1-score,support
Angry,0.3271375464684015,0.4018264840182648,0.36065573770491804,219.0
Disgust,0.36065573770491804,0.2857142857142857,0.3188405797101449,77.0
Fear,0.4024390243902439,0.2693877551020408,0.32273838630806845,245.0
Happy,0.5813148788927336,0.6640316205533597,0.6199261992619927,253.0
Neutral,0.3695652173913043,0.4897119341563786,0.42123893805309737,243.0
Sad,0.3615023474178404,0.3117408906882591,0.3347826086956522,247.0
Surprise,0.6898395721925134,0.583710407239819,0.6323529411764706,221.0
accuracy,0.44451827242524916,0.44451827242524916,0.44451827242524916,0.44451827242524916
macro avg,0.4417791892082793,0.4294461967817726,0.43007648441576346,1505.0
weighted avg,0.4495905733609096,0.44451827242524916,0.4413614156468757,1505.0
